Text,Sentimen
ganteng.1
dukung,1
kualitas terbaik,1
lebih memilih,1
penghargaan,1
plus,1
selamat,1
top,1
wow,1
whooooa,1
a+,1
absah,1
absolut,1
accord,1
acuan,1
acungan jempol,1
adaptif,1
adil,1
aduhai,1
afdol,1
afinitas,1
afirmasi,1
agilely,1
agung,1
ahli,1
ahlinya,1
ajaib,1
akademisi,1
akan bayar,1
akbar,1
aklamasi,1
akomodatif,1
akrab,1
aktif,1
aktualisasi,1
akur,1
akurat,1
alam mimpi,1
alami,1
alamiah,1
alhamdulillah,1
alim,1
alim ulama,1
allahu akbar,1
altruistis,1
amal,1
amal jariah,1
aman,1
aman-aman,1
amanah,1
amat,1
ambisius,1
amboi,1
ampuh,1
anak emas,1
andal,1
andalan,1
aneh,1
anggukan,1
anggun,1
angin sepoi-sepoi,1
angkat,1
animo,1
anjuran,1
anteng,1
antusias,1
antusiasme,1
anugrah,1
apik,1
apresiasi,1
arahan,1
asli,1
aspirasi,1
asyik,1
asyiknya,1
atensi,1
ayo,1
bagos,1
bagus,1
bahagia,1
bahagiakan,1
bahagian,1
bahu-membahu,1
baik,1
baik diposisikan,1
baik sekali,1
baik-baik,1
bajik,1
bakat,1
bakti,1
bala bantuan,1
balas budi,1
balas jasa,1
bangga,1
bangkit,1
bantu,1
bantuan,1
banyak,1
banyak akal,1
banyak-banyak,1
barang baru,1
batu permata,1
beasiswa,1
bebas,1
bebas banjir,1
bebas hambatan,1
bebas masalah,1
bebas murni,1
bebas pulsa,1
bebas rasa sakit,1
bebas resiko,1
becus,1
bekal,1
beken,1
bekerja,1
bekerja keras,1
bekerja sama,1
bela,1
belajar,1
belas kasih,1
belas kasihan,1
benah,1
benar,1
benar-benar,1
bengal,1
bening,1
beradaptasi,1
berakal,1
berakhlak,1
beralasan,1
beramal,1
beraneka ragam,1
berangkulan,1
berani,1
berapi,1
berarti,1
berbagi,1
berbahagia,1
berbaik hati,1
berbaikan,1
berbakat,1
berbakti,1
berbangga,1
berbesar hati,1
berbinar-binar,1
berbobot,1
berbudaya,1
berbudi,1
berbudi luhur,1
berbunga-bunga,1
bercacat,1
bercahaya,1
bercanda,1
bercita-cita,1
berdamai,1
berdaulat,1
berdaya,1
berdaya cipta,1
berdaya guna,1
berdaya upaya,1
berdebar,1
berdecak kagum,1
berdedikasi,1
berdikari,1
berempati,1
beretika,1
beretiket,1
berfaedah,1
berfungsi,1
bergairah,1
bergandengan,1
bergaya,1
bergema,1
bergembira,1
bergembira sekali,1
bergengsi,1
bergizi,1
bergotong-royong,1
berguna,1
berhadiah,1
berharap,1
berharga,1
berhasil,1
berhemat,1
berhutang,1
berihtiar,1
berijtihad,1
berikhtiar,1
berikrar,1
beriktikad,1
berikut,1
beriman,1
berimbang,1
berinisiatif,1
berinovasi,1
berisi,1
beristirahat,1
beritikad,1
berjanji,1
berjasa,1
berjaya,1
berjenis,1
berjuang,1
berkapasitas besar,1
berkat,1
berkeinginan,1
berkelakuan baik,1
berkelanjutan,1
berkembang,1
berkembang pesat,1
berkesinambungan,1
berkeyakinan,1
berkhasiat,1
berkibar,1
berkilau,1
berkilauan,1
berkontribusi,1
berkoordinasi,1
berkreasi,1
berkualitas,1
berlangsung mudah,1
berlimpah,1
berlimpah-limpah,1
bermaaf-maafan,1
bermaksud baik,1
bermanfaat,1
bermanuver,1
bermartabat,1
berminat,1
bermoral,1
bermusyawarah,1
berniat,1
bernilai,1
berolah raga,1
berpeluang,1
berpelukan,1
berpendidikan,1
berpendidikan baik,1
berpengalaman,1
berpengaruh,1
berpengetahuan luas,1
berpijar,1
